model lang,fact lang,model,init method,iter method,overall,single_word,multi_word,explicit,non_explicit
en,en,mbert_base,all,none,0.0225,0.04824561403508772,0.0022727272727272726,0.0,0.036
en,en,mbert_base,all,left,0.018750000000000003,0.039656432748538015,0.0022727272727272726,0.0,0.030000000000000006
en,en,mbert_base,all,confidence,0.018125000000000002,0.038267543859649124,0.0022727272727272726,0.0,0.029000000000000005
en,en,mbert_base,left,none,0.021875,0.04521198830409357,0.003409090909090909,0.0,0.034999999999999996
en,en,mbert_base,left,left,0.021875,0.04382309941520468,0.004034090909090909,0.0,0.034999999999999996
en,en,mbert_base,left,confidence,0.021875,0.04382309941520468,0.004034090909090909,0.0,0.034999999999999996
en,en,mbert_base,confidence,none,0.018750000000000003,0.038267543859649124,0.003409090909090909,0.0,0.030000000000000006
en,en,mbert_base,confidence,left,0.018125000000000002,0.03687865497076023,0.003409090909090909,0.0,0.029000000000000005
en,en,mbert_base,confidence,confidence,0.018125000000000002,0.03687865497076023,0.003409090909090909,0.0,0.029000000000000005
en,en,xlm_base,all,none,0.010624999999999999,0.11432092004381161,0.0,0.0,0.016999999999999998
en,en,xlm_base,all,left,0.009375,0.11130887185104053,0.0,0.0,0.015
en,en,xlm_base,all,confidence,0.009375,0.11130887185104053,0.0,0.0,0.015
en,en,xlm_base,left,none,0.01,0.11281489594742608,0.0,0.0,0.016
en,en,xlm_base,left,left,0.009375,0.11130887185104053,0.0,0.0,0.015
en,en,xlm_base,left,confidence,0.009375,0.11130887185104053,0.0,0.0,0.015
en,en,xlm_base,confidence,none,0.008125,0.10829682365826945,0.0,0.0,0.013000000000000001
en,en,xlm_base,confidence,left,0.008125,0.10829682365826945,0.0,0.0,0.013000000000000001
en,en,xlm_base,confidence,confidence,0.008125,0.10829682365826945,0.0,0.0,0.013000000000000001
en,nl,mbert_base,all,none,0.010343282776488369,0.020048288000415658,0.0,0.001718213058419244,0.015518324607329843
en,nl,mbert_base,all,left,0.0077650523560209425,0.015484515484515484,0.0,0.0,0.012424083769633509
en,nl,mbert_base,all,confidence,0.00903438225292816,0.017523035475163134,0.0,0.001718213058419244,0.013424083769633508
en,nl,mbert_base,left,none,0.00903438225292816,0.017523035475163134,0.0,0.001718213058419244,0.013424083769633508
en,nl,mbert_base,left,left,0.008379931991148054,0.016260409212536873,0.0,0.001718213058419244,0.012376963350785341
en,nl,mbert_base,left,confidence,0.007754931991148055,0.014886782838910498,0.0,0.001718213058419244,0.01137696335078534
en,nl,mbert_base,confidence,none,0.008379931991148054,0.01499778294991061,0.001358695652173913,0.001718213058419244,0.012376963350785341
